Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?,Rainfall log,Wind_Speed log,ALT log
32,Barisal,1951,9,34.4,25.5,286.0,84.0,0.937037037,5.5,4.823404255,536809.8,510151.9,22.7,90.36,4,1951.09,0.0,5.659482215759621,0.6611595050474276,1.6094379124341003
33,Barisal,1951,10,33.3,25.1,301.0,85.0,0.490740741,4.8,7.0,536809.8,510151.9,22.7,90.36,4,1951.1,1.0,5.71042701737487,0.3992731380341563,1.6094379124341003
34,Barisal,1951,11,31.1,20.0,31.0,73.0,0.312962963,2.5,7.85106383,536809.8,510151.9,22.7,90.36,4,1951.11,0.0,3.4657359027997265,0.2722863870020162,1.6094379124341003
35,Barisal,1951,12,31.7,15.7,0.0,68.0,0.337037037,2.1,7.725531915,536809.8,510151.9,22.7,90.36,4,1951.12,0.0,0.0,0.2904559993068053,1.6094379124341003
36,Barisal,1952,1,26.6,12.3,2.0,77.0,0.453703704,1.0,7.831914894,536809.8,510151.9,22.7,90.36,4,1952.01,0.0,1.0986122886681098,0.37411457842791,1.6094379124341003
37,Barisal,1952,2,30.6,15.2,8.0,75.0,0.659259259,1.5,8.314893617,536809.8,510151.9,22.7,90.36,4,1952.02,0.0,2.1972245773362196,0.5063712732603604,1.6094379124341003
38,Barisal,1952,3,33.3,20.2,33.0,73.0,1.085185185,2.4,8.131914894,536809.8,510151.9,22.7,90.36,4,1952.03,0.0,3.5263605246161616,0.7348576690525057,1.6094379124341003
39,Barisal,1952,4,34.0,23.9,85.0,78.0,1.772222222,3.7,8.219148936,536809.8,510151.9,22.7,90.36,4,1952.04,0.0,4.454347296253507,1.0196492447811478,1.6094379124341003
40,Barisal,1952,5,33.6,25.0,196.0,81.0,1.703703704,4.7,7.046808511,536809.8,510151.9,22.7,90.36,4,1952.05,0.0,5.2832037287379885,0.9946225752536512,1.6094379124341003
41,Barisal,1952,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,536809.8,510151.9,22.7,90.36,4,1952.06,1.0,6.008813185442595,0.9675469883558109,1.6094379124341003
42,Barisal,1952,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,536809.8,510151.9,22.7,90.36,4,1952.07,1.0,6.028278520230698,0.9440500013643375,1.6094379124341003
43,Barisal,1952,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,536809.8,510151.9,22.7,90.36,4,1952.08,1.0,5.857933154483459,0.8457092978610482,1.6094379124341003
44,Barisal,1952,9,32.5,25.5,275.0,87.0,0.937037037,5.6,4.823404255,536809.8,510151.9,22.7,90.36,4,1952.09,0.0,5.62040086571715,0.6611595050474276,1.6094379124341003
45,Barisal,1952,10,32.0,23.8,171.0,85.0,0.490740741,3.6,7.0,536809.8,510151.9,22.7,90.36,4,1952.1,0.0,5.147494476813453,0.3992731380341563,1.6094379124341003
46,Barisal,1952,11,30.7,18.8,35.0,80.0,0.312962963,2.0,7.85106383,536809.8,510151.9,22.7,90.36,4,1952.11,0.0,3.58351893845611,0.2722863870020162,1.6094379124341003
47,Barisal,1952,12,27.8,13.7,4.0,63.0,0.337037037,1.0,7.725531915,536809.8,510151.9,22.7,90.36,4,1952.12,0.0,1.6094379124341003,0.2904559993068053,1.6094379124341003
48,Barisal,1953,1,30.0,13.3,10.0,75.0,0.453703704,1.6,7.831914894,536809.8,510151.9,22.7,90.36,4,1953.01,0.0,2.3978952727983707,0.37411457842791,1.6094379124341003
49,Barisal,1953,2,32.8,15.5,3.0,75.0,0.659259259,2.2,8.314893617,536809.8,510151.9,22.7,90.36,4,1953.02,0.0,1.3862943611198906,0.5063712732603604,1.6094379124341003
50,Barisal,1953,3,35.0,22.9,3.0,78.0,1.085185185,3.1,8.131914894,536809.8,510151.9,22.7,90.36,4,1953.03,0.0,1.3862943611198906,0.7348576690525057,1.6094379124341003
51,Barisal,1953,4,36.7,25.1,46.0,76.0,1.772222222,3.9,8.219148936,536809.8,510151.9,22.7,90.36,4,1953.04,0.0,3.8501476017100584,1.0196492447811478,1.6094379124341003
52,Barisal,1953,5,36.1,25.2,339.0,81.0,1.703703704,5.3,7.046808511,536809.8,510151.9,22.7,90.36,4,1953.05,1.0,5.8289456176102075,0.9946225752536512,1.6094379124341003
54,Barisal,1953,7,35.0,25.5,526.0,91.0,1.57037037,6.9,3.738297872,536809.8,510151.9,22.7,90.36,4,1953.07,1.0,6.267200548541362,0.9440500013643375,1.6094379124341003
55,Barisal,1953,8,36.7,25.7,167.0,87.0,1.32962963,6.1,4.272340426,536809.8,510151.9,22.7,90.36,4,1953.08,0.0,5.123963979403259,0.8457092978610482,1.6094379124341003
56,Barisal,1953,9,35.0,25.7,174.0,87.0,0.937037037,5.6,4.823404255,536809.8,510151.9,22.7,90.36,4,1953.09,0.0,5.1647859739235145,0.6611595050474276,1.6094379124341003
57,Barisal,1953,10,33.1,24.3,45.0,80.0,0.490740741,3.0,7.0,536809.8,510151.9,22.7,90.36,4,1953.1,0.0,3.828641396489095,0.3992731380341563,1.6094379124341003
58,Barisal,1953,11,30.6,19.1,0.0,77.0,0.312962963,1.4,7.85106383,536809.8,510151.9,22.7,90.36,4,1953.11,0.0,0.0,0.2722863870020162,1.6094379124341003
59,Barisal,1953,12,29.4,16.1,0.0,76.0,0.337037037,0.6,7.725531915,536809.8,510151.9,22.7,90.36,4,1953.12,0.0,0.0,0.2904559993068053,1.6094379124341003
60,Barisal,1954,1,27.8,12.7,0.0,72.0,0.453703704,0.5,7.831914894,536809.8,510151.9,22.7,90.36,4,1954.01,0.0,0.0,0.37411457842791,1.6094379124341003
61,Barisal,1954,2,33.4,17.9,3.0,73.0,0.659259259,1.0,8.314893617,536809.8,510151.9,22.7,90.36,4,1954.02,0.0,1.3862943611198906,0.5063712732603604,1.6094379124341003
62,Barisal,1954,3,36.7,20.5,56.0,65.0,1.085185185,1.4,8.131914894,536809.8,510151.9,22.7,90.36,4,1954.03,0.0,4.04305126783455,0.7348576690525057,1.6094379124341003
63,Barisal,1954,4,37.1,25.6,14.0,72.0,1.772222222,3.0,8.219148936,536809.8,510151.9,22.7,90.36,4,1954.04,0.0,2.70805020110221,1.0196492447811478,1.6094379124341003
64,Barisal,1954,5,37.1,26.3,70.0,74.0,1.703703704,3.8,7.046808511,536809.8,510151.9,22.7,90.36,4,1954.05,0.0,4.2626798770413155,0.9946225752536512,1.6094379124341003
65,Barisal,1954,6,36.0,25.4,500.0,86.0,1.631481481,6.4,4.072340426,536809.8,510151.9,22.7,90.36,4,1954.06,1.0,6.2166061010848646,0.9675469883558109,1.6094379124341003
66,Barisal,1954,7,33.0,25.8,260.0,85.0,1.57037037,5.6,3.738297872,536809.8,510151.9,22.7,90.36,4,1954.07,0.0,5.564520407322694,0.9440500013643375,1.6094379124341003
67,Barisal,1954,8,33.8,26.4,360.0,87.0,1.32962963,6.6,4.272340426,536809.8,510151.9,22.7,90.36,4,1954.08,0.0,5.8888779583328805,0.8457092978610482,1.6094379124341003
68,Barisal,1954,9,34.1,26.4,144.0,88.0,0.937037037,5.6,4.823404255,536809.8,510151.9,22.7,90.36,4,1954.09,0.0,4.976733742420574,0.6611595050474276,1.6094379124341003
69,Barisal,1954,10,33.2,23.7,169.0,86.0,0.490740741,4.3,7.0,536809.8,510151.9,22.7,90.36,4,1954.1,0.0,5.135798437050262,0.3992731380341563,1.6094379124341003
70,Barisal,1954,11,29.7,17.7,1.0,76.0,0.312962963,1.0,7.85106383,536809.8,510151.9,22.7,90.36,4,1954.11,0.0,0.6931471805599453,0.2722863870020162,1.6094379124341003
71,Barisal,1954,12,29.3,15.2,6.0,78.0,0.337037037,2.1,7.725531915,536809.8,510151.9,22.7,90.36,4,1954.12,0.0,1.9459101490553132,0.2904559993068053,1.6094379124341003
72,Barisal,1955,1,26.6,12.3,2.0,77.0,0.453703704,1.0,7.831914894,536809.8,510151.9,22.7,90.36,4,1955.01,0.0,1.0986122886681098,0.37411457842791,1.6094379124341003
73,Barisal,1955,2,30.5,15.2,8.0,75.0,0.659259259,1.5,8.314893617,536809.8,510151.9,22.7,90.36,4,1955.02,0.0,2.1972245773362196,0.5063712732603604,1.6094379124341003
74,Barisal,1955,3,33.3,20.2,33.0,73.0,1.085185185,2.4,8.131914894,536809.8,510151.9,22.7,90.36,4,1955.03,0.0,3.5263605246161616,0.7348576690525057,1.6094379124341003
75,Barisal,1955,4,34.0,23.9,85.0,78.0,1.772222222,3.7,8.219148936,536809.8,510151.9,22.7,90.36,4,1955.04,0.0,4.454347296253507,1.0196492447811478,1.6094379124341003
76,Barisal,1955,5,33.6,25.0,196.0,81.0,1.703703704,4.7,7.046808511,536809.8,510151.9,22.7,90.36,4,1955.05,0.0,5.2832037287379885,0.9946225752536512,1.6094379124341003
77,Barisal,1955,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,536809.8,510151.9,22.7,90.36,4,1955.06,1.0,6.008813185442595,0.9675469883558109,1.6094379124341003
78,Barisal,1955,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,536809.8,510151.9,22.7,90.36,4,1955.07,1.0,6.028278520230698,0.9440500013643375,1.6094379124341003
79,Barisal,1955,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,536809.8,510151.9,22.7,90.36,4,1955.08,1.0,5.857933154483459,0.8457092978610482,1.6094379124341003
80,Barisal,1955,9,32.5,25.5,275.0,87.0,0.937037037,5.6,4.823404255,536809.8,510151.9,22.7,90.36,4,1955.09,0.0,5.62040086571715,0.6611595050474276,1.6094379124341003
81,Barisal,1955,10,32.0,23.8,171.0,85.0,0.490740741,3.6,7.0,536809.8,510151.9,22.7,90.36,4,1955.1,0.0,5.147494476813453,0.3992731380341563,1.6094379124341003
82,Barisal,1955,11,30.7,18.8,35.0,80.0,0.312962963,2.0,7.85106383,536809.8,510151.9,22.7,90.36,4,1955.11,0.0,3.58351893845611,0.2722863870020162,1.6094379124341003
83,Barisal,1955,12,27.8,13.7,4.0,63.0,0.337037037,1.0,7.725531915,536809.8,510151.9,22.7,90.36,4,1955.12,0.0,1.6094379124341003,0.2904559993068053,1.6094379124341003
84,Barisal,1956,1,29.4,14.3,17.0,74.0,0.453703704,0.4,7.831914894,536809.8,510151.9,22.7,90.36,4,1956.01,0.0,2.8903717578961645,0.37411457842791,1.6094379124341003
85,Barisal,1956,2,32.8,14.9,0.0,69.0,0.659259259,1.2,8.314893617,536809.8,510151.9,22.7,90.36,4,1956.02,0.0,0.0,0.5063712732603604,1.6094379124341003
86,Barisal,1956,3,36.7,21.5,20.0,72.0,1.085185185,1.8,8.131914894,536809.8,510151.9,22.7,90.36,4,1956.03,0.0,3.044522437723423,0.7348576690525057,1.6094379124341003
87,Barisal,1956,4,37.2,24.3,92.0,77.0,1.772222222,2.6,8.219148936,536809.8,510151.9,22.7,90.36,4,1956.04,0.0,4.532599493153256,1.0196492447811478,1.6094379124341003
88,Barisal,1956,5,34.4,26.2,343.0,83.0,1.703703704,5.6,7.046808511,536809.8,510151.9,22.7,90.36,4,1956.05,1.0,5.840641657373398,0.9946225752536512,1.6094379124341003
90,Barisal,1956,7,33.8,25.8,319.0,86.0,1.57037037,5.7,3.738297872,536809.8,510151.9,22.7,90.36,4,1956.07,1.0,5.768320995793772,0.9440500013643375,1.6094379124341003
91,Barisal,1956,8,33.3,26.0,497.0,87.0,1.32962963,5.6,4.272340426,536809.8,510151.9,22.7,90.36,4,1956.08,1.0,6.210600077024653,0.8457092978610482,1.6094379124341003
93,Barisal,1956,10,33.8,24.5,184.0,84.0,0.490740741,3.3,7.0,536809.8,510151.9,22.7,90.36,4,1956.1,0.0,5.220355825078324,0.3992731380341563,1.6094379124341003
94,Barisal,1956,11,31.3,20.0,46.0,81.0,0.312962963,1.3,7.85106383,536809.8,510151.9,22.7,90.36,4,1956.11,0.0,3.8501476017100584,0.2722863870020162,1.6094379124341003
95,Barisal,1956,12,29.5,14.9,0.0,79.0,0.337037037,0.2,7.725531915,536809.8,510151.9,22.7,90.36,4,1956.12,0.0,0.0,0.2904559993068053,1.6094379124341003
96,Barisal,1957,1,30.1,15.1,104.0,80.0,0.453703704,1.0,7.831914894,536809.8,510151.9,22.7,90.36,4,1957.01,0.0,4.653960350157523,0.37411457842791,1.6094379124341003
97,Barisal,1957,2,30.6,16.3,13.0,80.0,0.659259259,1.6,8.314893617,536809.8,510151.9,22.7,90.36,4,1957.02,0.0,2.6390573296152584,0.5063712732603604,1.6094379124341003
98,Barisal,1957,3,36.6,20.0,0.0,70.0,1.085185185,1.8,8.131914894,536809.8,510151.9,22.7,90.36,4,1957.03,0.0,0.0,0.7348576690525057,1.6094379124341003
99,Barisal,1957,4,37.3,24.9,1.0,85.0,1.772222222,2.3,8.219148936,536809.8,510151.9,22.7,90.36,4,1957.04,0.0,0.6931471805599453,1.0196492447811478,1.6094379124341003
100,Barisal,1957,5,36.2,26.7,22.0,77.0,1.703703704,4.2,7.046808511,536809.8,510151.9,22.7,90.36,4,1957.05,0.0,3.1354942159291497,0.9946225752536512,1.6094379124341003
101,Barisal,1957,6,35.5,26.5,244.0,83.0,1.631481481,5.3,4.072340426,536809.8,510151.9,22.7,90.36,4,1957.06,0.0,5.501258210544727,0.9675469883558109,1.6094379124341003
102,Barisal,1957,7,33.3,26.0,564.0,87.0,1.57037037,5.8,3.738297872,536809.8,510151.9,22.7,90.36,4,1957.07,1.0,6.336825731146441,0.9440500013643375,1.6094379124341003
103,Barisal,1957,8,35.5,26.3,286.0,87.0,1.32962963,5.3,4.272340426,536809.8,510151.9,22.7,90.36,4,1957.08,0.0,5.659482215759621,0.8457092978610482,1.6094379124341003
104,Barisal,1957,9,34.4,26.3,216.0,86.0,0.937037037,5.3,4.823404255,536809.8,510151.9,22.7,90.36,4,1957.09,0.0,5.37989735354046,0.6611595050474276,1.6094379124341003
105,Barisal,1957,10,33.2,24.4,52.0,80.0,0.490740741,3.2,7.0,536809.8,510151.9,22.7,90.36,4,1957.1,0.0,3.970291913552122,0.3992731380341563,1.6094379124341003
106,Barisal,1957,11,30.7,18.5,0.0,73.0,0.312962963,0.9,7.85106383,536809.8,510151.9,22.7,90.36,4,1957.11,0.0,0.0,0.2722863870020162,1.6094379124341003
107,Barisal,1957,12,29.4,14.8,0.0,76.0,0.337037037,0.2,7.725531915,536809.8,510151.9,22.7,90.36,4,1957.12,0.0,0.0,0.2904559993068053,1.6094379124341003
108,Barisal,1958,1,31.1,15.5,0.0,77.0,0.453703704,1.7,7.831914894,536809.8,510151.9,22.7,90.36,4,1958.01,0.0,0.0,0.37411457842791,1.6094379124341003
109,Barisal,1958,2,30.5,16.6,12.0,75.0,0.659259259,2.3,8.314893617,536809.8,510151.9,22.7,90.36,4,1958.02,0.0,2.5649493574615367,0.5063712732603604,1.6094379124341003
110,Barisal,1958,3,33.6,16.5,51.0,73.0,1.085185185,2.4,8.131914894,536809.8,510151.9,22.7,90.36,4,1958.03,0.0,3.9512437185814275,0.7348576690525057,1.6094379124341003
111,Barisal,1958,4,36.6,24.5,129.0,79.0,1.772222222,3.0,8.219148936,536809.8,510151.9,22.7,90.36,4,1958.04,0.0,4.867534450455582,1.0196492447811478,1.6094379124341003
112,Barisal,1958,5,36.1,26.2,289.0,83.0,1.703703704,4.0,7.046808511,536809.8,510151.9,22.7,90.36,4,1958.05,1.0,5.66988092298052,0.9946225752536512,1.6094379124341003
113,Barisal,1958,6,35.5,27.0,171.0,84.0,1.631481481,4.9,4.072340426,536809.8,510151.9,22.7,90.36,4,1958.06,0.0,5.147494476813453,0.9675469883558109,1.6094379124341003
114,Barisal,1958,7,33.3,26.2,414.0,90.0,1.57037037,6.0,3.738297872,536809.8,510151.9,22.7,90.36,4,1958.07,1.0,6.028278520230698,0.9440500013643375,1.6094379124341003
115,Barisal,1958,8,33.4,26.1,268.0,88.0,1.32962963,5.6,4.272340426,536809.8,510151.9,22.7,90.36,4,1958.08,0.0,5.594711379601839,0.8457092978610482,1.6094379124341003
116,Barisal,1958,9,34.4,26.0,321.0,85.0,0.937037037,5.4,4.823404255,536809.8,510151.9,22.7,90.36,4,1958.09,1.0,5.7745515455444085,0.6611595050474276,1.6094379124341003
117,Barisal,1958,10,33.8,25.5,208.0,86.0,0.490740741,3.3,7.0,536809.8,510151.9,22.7,90.36,4,1958.1,0.0,5.342334251964811,0.3992731380341563,1.6094379124341003
118,Barisal,1958,11,32.2,21.2,0.0,86.0,0.312962963,1.7,7.85106383,536809.8,510151.9,22.7,90.36,4,1958.11,0.0,0.0,0.2722863870020162,1.6094379124341003
119,Barisal,1958,12,28.8,16.7,0.0,78.0,0.337037037,0.8,7.725531915,536809.8,510151.9,22.7,90.36,4,1958.12,0.0,0.0,0.2904559993068053,1.6094379124341003
120,Barisal,1959,1,29.9,14.5,24.0,77.0,0.453703704,1.4,7.831914894,536809.8,510151.9,22.7,90.36,4,1959.01,0.0,3.2188758248682006,0.37411457842791,1.6094379124341003
121,Barisal,1959,2,30.5,15.6,5.0,80.0,0.659259259,1.0,8.314893617,536809.8,510151.9,22.7,90.36,4,1959.02,0.0,1.791759469228055,0.5063712732603604,1.6094379124341003
122,Barisal,1959,3,36.4,20.6,59.0,72.0,1.085185185,1.5,8.131914894,536809.8,510151.9,22.7,90.36,4,1959.03,0.0,4.0943445622221,0.7348576690525057,1.6094379124341003
123,Barisal,1959,4,37.2,24.9,59.0,74.0,1.772222222,3.2,8.219148936,536809.8,510151.9,22.7,90.36,4,1959.04,0.0,4.0943445622221,1.0196492447811478,1.6094379124341003
124,Barisal,1959,5,36.1,25.6,258.0,79.0,1.703703704,4.6,7.046808511,536809.8,510151.9,22.7,90.36,4,1959.05,0.0,5.556828061699537,0.9946225752536512,1.6094379124341003
125,Barisal,1959,6,34.6,25.8,377.0,85.0,1.631481481,5.4,4.072340426,536809.8,510151.9,22.7,90.36,4,1959.06,1.0,5.934894195619588,0.9675469883558109,1.6094379124341003
127,Barisal,1959,8,32.7,25.8,621.0,87.0,1.32962963,6.1,4.272340426,536809.8,510151.9,22.7,90.36,4,1959.08,1.0,6.432940092739179,0.8457092978610482,1.6094379124341003
128,Barisal,1959,9,33.8,25.3,608.0,91.0,0.937037037,5.7,4.823404255,536809.8,510151.9,22.7,90.36,4,1959.09,1.0,6.411818267709897,0.6611595050474276,1.6094379124341003
129,Barisal,1959,10,32.3,24.3,475.0,87.0,0.490740741,4.4,7.0,536809.8,510151.9,22.7,90.36,4,1959.1,1.0,6.16541785423142,0.3992731380341563,1.6094379124341003
130,Barisal,1959,11,29.9,18.5,0.0,79.0,0.312962963,0.6,7.85106383,536809.8,510151.9,22.7,90.36,4,1959.11,0.0,0.0,0.2722863870020162,1.6094379124341003
131,Barisal,1959,12,27.2,14.8,0.0,78.0,0.337037037,0.8,7.725531915,536809.8,510151.9,22.7,90.36,4,1959.12,0.0,0.0,0.2904559993068053,1.6094379124341003
132,Barisal,1960,1,27.3,12.8,0.0,71.0,0.3,1.3,7.831914894,536809.8,510151.9,22.7,90.36,4,1960.01,0.0,0.0,0.262364264467491,1.6094379124341003
133,Barisal,1960,2,32.7,16.5,0.0,77.0,0.1,0.5,8.314893617,536809.8,510151.9,22.7,90.36,4,1960.02,0.0,0.0,0.09531017980432487,1.6094379124341003
134,Barisal,1960,3,34.9,19.6,36.0,69.0,0.6,1.8,8.131914894,536809.8,510151.9,22.7,90.36,4,1960.03,0.0,3.6109179126442243,0.4700036292457356,1.6094379124341003
135,Barisal,1960,4,36.6,24.9,13.0,71.0,1.0,1.8,8.219148936,536809.8,510151.9,22.7,90.36,4,1960.04,0.0,2.6390573296152584,0.6931471805599453,1.6094379124341003
136,Barisal,1960,5,37.2,26.4,324.0,76.0,1.1,4.2,7.046808511,536809.8,510151.9,22.7,90.36,4,1960.05,1.0,5.783825182329737,0.7419373447293773,1.6094379124341003
137,Barisal,1960,6,34.4,26.5,433.0,84.0,0.6,5.0,4.072340426,536809.8,510151.9,22.7,90.36,4,1960.06,1.0,6.073044534100405,0.4700036292457356,1.6094379124341003
140,Barisal,1960,9,34.0,25.9,632.0,88.0,0.3,5.4,4.823404255,536809.8,510151.9,22.7,90.36,4,1960.09,1.0,6.450470422144176,0.262364264467491,1.6094379124341003
141,Barisal,1960,10,33.8,24.1,316.0,80.0,1.6,2.5,7.0,536809.8,510151.9,22.7,90.36,4,1960.1,1.0,5.75890177387728,0.9555114450274363,1.6094379124341003
142,Barisal,1960,11,31.7,18.8,79.0,74.0,0.3,1.3,7.85106383,536809.8,510151.9,22.7,90.36,4,1960.11,0.0,4.382026634673881,0.262364264467491,1.6094379124341003
143,Barisal,1960,12,28.3,15.1,0.0,75.0,0.1,0.8,7.725531915,536809.8,510151.9,22.7,90.36,4,1960.12,0.0,0.0,0.09531017980432487,1.6094379124341003
144,Barisal,1961,1,28.8,14.5,8.0,73.0,0.2,1.7,7.831914894,536809.8,510151.9,22.7,90.36,4,1961.01,0.0,2.1972245773362196,0.18232155679395465,1.6094379124341003
145,Barisal,1961,2,31.6,14.9,43.0,70.0,0.3,2.2,8.314893617,536809.8,510151.9,22.7,90.36,4,1961.02,0.0,3.784189633918261,0.262364264467491,1.6094379124341003
